"","wflow_id",".metric","mean","std_err","n"
"1","default_glm","boyce_cont",0.464034971684489,0.150055379467534,10
"2","default_glm","roc_auc",0.480348346614722,0.0319394635731733,10
"3","default_glm","tss_max",0.196956365301069,0.0450049898970527,10
"4","default_rf","boyce_cont",0.542294790974993,0.131345145226933,10
"5","default_rf","roc_auc",0.572499424281753,0.0308561029033232,10
"6","default_rf","tss_max",0.295504243023485,0.047677631396725,10
"7","default_gbm","boyce_cont",0.560724803138454,0.12938192785137,10
"8","default_gbm","roc_auc",0.559977493799443,0.0307192641214092,10
"9","default_gbm","tss_max",0.283545635230971,0.0485015887549419,10
"10","default_maxent","boyce_cont",0.571951867920033,0.0849068151562779,10
"11","default_maxent","roc_auc",0.481910258103105,0.0329989906860689,10
"12","default_maxent","tss_max",0.196767795750174,0.0458377778042711,10
