"","wflow_id",".metric","mean","std_err","n"
"1","default_glm","boyce_cont",0.484913888131573,0.109117284117408,10
"2","default_glm","roc_auc",0.541209949835784,0.0366164307566237,10
"3","default_glm","tss_max",0.223036733280879,0.0508340187695464,10
"4","default_rf","boyce_cont",0.587714162989376,0.0851052901747002,10
"5","default_rf","roc_auc",0.554114289492564,0.0280958730202915,10
"6","default_rf","tss_max",0.252151972170285,0.0478739898848523,10
"7","default_gbm","boyce_cont",0.515474664567851,0.101600789347314,10
"8","default_gbm","roc_auc",0.562287885103073,0.031207006381188,10
"9","default_gbm","tss_max",0.261406946993782,0.0534875033598751,10
"10","default_maxent","boyce_cont",0.313571698528921,0.132046113505219,10
"11","default_maxent","roc_auc",0.56758769509735,0.0371595996133851,10
"12","default_maxent","tss_max",0.255362979220302,0.0531987936497053,10
